"","1.passive","2.passive","3.passive","4.passive","1.active","2.active","3.active","4.active"
"123.2017",0,0,NA,NA,0,0,NA,NA
"124.2016",NA,NA,NA,NA,NA,NA,NA,NA
"124.2017",2,2,NA,NA,3,3,NA,NA
"125.2016",NA,NA,NA,NA,NA,NA,NA,NA
"125.2017",0,0,NA,NA,0,0,NA,NA
"126.2016",NA,NA,NA,NA,NA,NA,NA,NA
"127.2016",NA,NA,NA,NA,NA,NA,NA,NA
"128.2016",NA,NA,NA,NA,NA,NA,NA,NA
"129.2016",NA,NA,NA,NA,NA,NA,NA,NA
"130.2016",NA,NA,NA,NA,NA,NA,NA,NA
"130.2017",0,0,0,NA,0,0,0,NA
"131.2016",NA,NA,NA,NA,NA,NA,NA,NA
"131.2017",0,1,1,NA,1,0,1,NA
"132.2016",NA,NA,NA,NA,NA,NA,NA,NA
"132.2017",0,2,4,NA,0,0,4,NA
"133.2016",NA,NA,NA,NA,NA,NA,NA,NA
"133.2017",3,2,2,NA,1,4,2,NA
"134.2016",NA,NA,NA,NA,NA,NA,NA,NA
"135.2016",NA,NA,NA,NA,NA,NA,NA,NA
