"","1.passive","2.passive","3.passive","4.passive","1.active","2.active","3.active","4.active"
"124.2017",0,0,NA,NA,0,0,NA,NA
"125.2016",0,1,NA,NA,0,0,NA,NA
"125.2017",0,0,NA,NA,0,0,NA,NA
"126.2016",0,1,NA,NA,0,1,NA,NA
"127.2016",0,0,NA,NA,0,0,NA,NA
"128.2016",0,0,NA,NA,0,0,NA,NA
"129.2016",0,0,NA,NA,0,0,NA,NA
"130.2016",0,0,0,NA,0,0,0,NA
"130.2017",0,0,0,NA,0,0,0,NA
"131.2016",1,0,0,NA,0,1,0,NA
"131.2017",0,0,0,NA,0,0,0,NA
"132.2016",0,0,0,NA,0,0,0,NA
"132.2017",0,0,0,NA,0,1,0,NA
"133.2016",0,0,0,NA,0,0,0,NA
"133.2017",0,0,0,NA,0,0,0,NA
"134.2016",0,0,NA,NA,0,0,NA,NA
"135.2016",1,0,NA,NA,1,0,NA,NA
