FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID
,S4A01593_20160506_225407.wav,0,2780.576,1.717,1406,1699,2250,5/6/2016,40:27.6,23,5/6/2016,40:27.6,11,non focal,0.316081,BLRA,0.316081,CLRA grunt,0.316081,1,non focal
,S4A01593_20160506_225407.wav,0,3195.355,3.819,3000,3421,3656,5/6/2016,47:22.4,23,5/6/2016,47:22.4,11,non focal,0.31845,VIRA grunt,0.31845,SESP,0.31845,1,non focal
,S4A01593_20160506_225407.wav,0,3263.44,1.557,1594,3342,3656,5/6/2016,48:30.4,23,5/6/2016,48:30.4,11,non focal,0.334512,VIRA grunt,0.334512,VIRA call,0.334512,1,non focal
,S4A01593_20160506_225407.wav,0,3220.048,1.291,3000,3405,3656,5/6/2016,47:47.1,23,5/6/2016,47:47.1,11,non focal,0.34561,VIRA grunt,0.34561,SESP,0.34561,1,non focal
,S4A01593_20160506_225407.wav,0,3373.285,2.469,3000,3412,3750,5/6/2016,50:20.3,23,5/6/2016,50:20.3,11,non focal,0.349489,non focal,0.91154,focal mix,0.91154,1,non focal
,S4A01593_20160506_225407.wav,0,2309.056,0.757,1219,3320,3750,5/6/2016,32:36.1,23,5/6/2016,32:36.1,11,non focal,0.350005,VIRA grunt,0.350005,VIRA call,0.350005,1,non focal
,S4A01593_20160506_225407.wav,0,2044.752,4.8,1594,3346,3656,5/6/2016,28:11.8,23,5/6/2016,28:11.8,11,non focal,0.350697,VIRA grunt,0.350697,SESP,0.350697,1,non focal
,S4A01593_20160506_225407.wav,1,1930.219,0.475,1313,1464,1781,5/6/2016,26:17.2,23,5/6/2016,26:17.2,11,non focal,0.352144,BLRA,0.352144,non focal,0.466642,1,non focal
,S4A01593_20160506_225407.wav,0,3175.115,0.864,3000,3411,3656,5/6/2016,47:02.1,23,5/6/2016,47:02.1,11,non focal,0.35648,VIRA grunt,0.35648,VIRA call,0.35648,1,non focal
,S4A01593_20160506_225407.wav,1,171.232,0.448,1031,1383,1781,5/6/2016,56:58.2,22,5/6/2016,56:58.2,10,non focal,0.356962,LEBI,0.356962,VIRA grunt,0.356962,1,non focal
,S4A01593_20160506_225407.wav,0,1514.997,0.272,1313,1568,1781,5/6/2016,19:22.0,23,5/6/2016,19:22.0,11,non focal,0.357334,BLRA,0.357334,non focal,0.366274,1,non focal
,S4A01593_20160506_225407.wav,0,3296.544,1.205,3000,3407,3750,5/6/2016,49:03.5,23,5/6/2016,49:03.5,11,non focal,0.36886,non focal,1.234185,focal mix,1.234185,1,non focal
,S4A01593_20160506_225407.wav,0,1825.515,2.064,3094,3448,3750,5/6/2016,24:32.5,23,5/6/2016,24:32.5,11,non focal,0.369842,VIRA grunt,0.369842,VIRA call,0.369842,1,non focal
,S4A01593_20160506_225407.wav,0,3376.139,1.579,3094,3396,3656,5/6/2016,50:23.1,23,5/6/2016,50:23.1,11,non focal,0.371541,non focal,0.971773,VIRA grunt,0.971773,1,non focal
,S4A01593_20160506_225407.wav,0,1523.328,0.581,1219,3392,3750,5/6/2016,19:30.3,23,5/6/2016,19:30.3,11,non focal,0.384724,VIRA grunt,0.384724,VIRA call,0.384724,1,non focal
,S4A01593_20160506_225407.wav,1,3328.661,1.003,3094,3396,3656,5/6/2016,49:35.7,23,5/6/2016,49:35.7,11,non focal,0.386571,non focal,1.10781,focal mix,1.10781,1,non focal
,S4A01593_20160506_225407.wav,0,2307.664,0.987,1219,3356,3656,5/6/2016,32:34.7,23,5/6/2016,32:34.7,11,non focal,0.388355,VIRA grunt,0.388355,VIRA call,0.388355,1,non focal
,S4A01593_20160506_225407.wav,0,949.941,0.293,1406,1594,1781,5/6/2016,09:56.9,23,5/6/2016,09:56.9,11,non focal,0.399687,BLRA,0.399687,CLRA kek,0.399687,1,non focal
,S4A01593_20160506_225407.wav,1,3568.437,7.253,1219,3388,3656,5/6/2016,53:35.4,23,5/6/2016,53:35.4,11,non focal,0.417966,VIRA grunt,0.417966,CLRA kek,0.417966,1,non focal
,S4A01593_20160506_225407.wav,0,3316.128,1.701,3000,3337,3656,5/6/2016,49:23.1,23,5/6/2016,49:23.1,11,non focal,0.420591,VIRA grunt,0.420591,VIRA call,0.420591,1,non focal
,S4A01593_20160506_225407.wav,0,3318.176,0.56,469,3291,3656,5/6/2016,49:25.2,23,5/6/2016,49:25.2,11,non focal,0.434328,VIRA grunt,0.434328,VIRA call,0.434328,1,non focal
,S4A01593_20160506_225407.wav,1,47.003,0.805,1031,1403,3188,5/6/2016,54:54.0,22,5/6/2016,54:54.0,10,non focal,0.43591,LEBI,0.43591,VIRA call,0.43591,1,non focal
,S4A01593_20160506_225407.wav,0,2624.347,1.392,1125,3338,3563,5/6/2016,37:51.4,23,5/6/2016,37:51.4,11,non focal,0.436356,VIRA grunt,0.436356,VIRA call,0.436356,1,non focal
,S4A01593_20160506_225407.wav,1,142.571,0.544,1031,1375,1688,5/6/2016,56:29.6,22,5/6/2016,56:29.6,10,non focal,0.440574,LEBI,0.440574,VIRA grunt,0.440574,1,non focal
,S4A01593_20160506_225407.wav,1,2221.573,1.387,3094,3493,7219,5/6/2016,31:08.6,23,5/6/2016,31:08.6,11,non focal,0.449833,VIRA grunt,0.449833,VIRA call,0.449833,1,non focal
,S4A01593_20160506_225407.wav,1,2193.451,3.536,1125,3201,4781,5/6/2016,30:40.5,23,5/6/2016,30:40.5,11,non focal,0.458062,VIRA grunt,0.458062,SESP,0.458062,1,non focal
,S4A01593_20160506_225407.wav,1,31.643,1.515,1031,1365,1781,5/6/2016,54:38.6,22,5/6/2016,54:38.6,10,non focal,0.481677,LEBI,0.481677,VIRA grunt,0.481677,1,non focal
,S4A01593_20160506_225407.wav,0,3250.315,2.475,1031,3338,3656,5/6/2016,48:17.3,23,5/6/2016,48:17.3,11,non focal,0.484702,VIRA grunt,0.484702,SESP,0.484702,1,non focal
,S4A01593_20160506_225407.wav,1,949.899,0.347,1406,1594,1781,5/6/2016,09:56.9,23,5/6/2016,09:56.9,11,non focal,0.486575,BLRA,0.486575,CLRA kek,0.486575,1,non focal
,S4A01593_20160506_225407.wav,0,3290.197,1.243,3000,3410,3656,5/6/2016,48:57.2,23,5/6/2016,48:57.2,11,non focal,0.495205,non focal,0.87331,focal mix,0.87331,1,non focal
,S4A01593_20160506_225407.wav,0,47.003,0.709,1031,1402,1688,5/6/2016,54:54.0,22,5/6/2016,54:54.0,10,non focal,0.502304,LEBI,0.502304,BLRA,0.502304,1,non focal
,S4A01593_20160506_225407.wav,0,30.523,2.544,1031,1348,1688,5/6/2016,54:37.5,22,5/6/2016,54:37.5,10,non focal,0.508878,LEBI,0.508878,VIRA grunt,0.508878,1,non focal
,S4A01593_20160506_225407.wav,0,3288.843,0.933,3000,3401,3656,5/6/2016,48:55.8,23,5/6/2016,48:55.8,11,non focal,0.523282,non focal,0.752608,VIRA grunt,0.752608,1,non focal
,S4A01593_20160506_225407.wav,1,3560.427,0.608,2156,2525,3000,5/6/2016,53:27.4,23,5/6/2016,53:27.4,11,non focal,0.526374,VIRA call,0.526374,focal mix,0.526374,1,VIRA call
,S4A01593_20160506_225407.wav,0,3017.92,0.512,1875,2596,3469,5/6/2016,44:24.9,23,5/6/2016,44:24.9,11,non focal,0.539265,VIRA call,0.539265,SORA,0.539265,1,non focal
